Machine_ID,Temperature,Speed,Torque,Yarn_Type,Defect
M107,328,1430,58,Blend,0
M115,307,1607,53,Silk,0
M111,316,1439,63,Blend,1
M108,319,1181,64,Silk,0
M107,325,1390,64,Silk,1
M119,312,1569,46,Polyester,0
M111,319,1515,39,Silk,0
M111,320,1349,46,Cotton,0
M104,313,1382,56,Cotton,0
M108,313,1401,51,Polyester,0
M103,321,1370,48,Blend,0
M102,319,1206,54,Blend,0
M112,325,1542,38,Blend,0
M106,309,1601,51,Cotton,1
M102,316,1268,59,Blend,0
M101,318,1599,54,Blend,0
M112,328,1438,56,Polyester,0
M112,311,1597,63,Blend,1
M117,322,1455,49,Cotton,0
M110,323,1466,45,Cotton,0
M116,336,1495,60,Cotton,0
M115,310,1355,59,Polyester,0
M115,313,1593,54,Polyester,0
M119,311,1315,49,Silk,0
M112,303,1402,50,Blend,0
M103,338,1513,40,Polyester,1
M105,308,1389,59,Cotton,0
M119,312,1543,59,Cotton,0
M107,333,1615,40,Polyester,0
M109,302,1572,57,Polyester,0
M107,328,1218,53,Polyester,0
M118,306,1465,42,Silk,0
M104,332,1573,40,Cotton,0
M114,298,1292,53,Silk,0
M118,302,1537,47,Silk,0
M109,315,1530,65,Blend,0
M102,330,1305,58,Cotton,0
M115,320,1550,54,Cotton,0
M107,317,1483,54,Polyester,0
M112,333,1528,61,Polyester,0
M108,342,1334,57,Blend,0
M115,327,1468,54,Silk,0
M103,314,1245,42,Polyester,0
M114,316,1177,74,Polyester,0
M117,307,1467,41,Cotton,0
M104,321,1582,47,Cotton,0
M118,304,1480,37,Polyester,0
M108,326,1442,54,Cotton,0
M104,340,1427,51,Blend,1
M102,327,1337,56,Polyester,0
M106,315,1423,36,Cotton,0
M110,325,1501,59,Blend,0
M104,336,1398,44,Cotton,0
M118,336,1540,49,Cotton,1
M112,310,1474,57,Cotton,0
M102,325,1488,52,Polyester,0
M110,318,1557,53,Silk,0
M104,328,1387,56,Cotton,0
M114,324,1529,53,Blend,0
M116,296,1404,47,Polyester,0
M115,317,1491,49,Polyester,0
M108,322,1373,52,Blend,0
M114,306,1341,43,Cotton,0
M108,326,1461,58,Silk,0
M116,305,1224,52,Cotton,0
M113,312,1414,51,Blend,0
M118,333,1257,60,Polyester,0
M115,311,1544,49,Silk,0
M113,326,1576,49,Polyester,0
M109,302,1346,46,Blend,0
M115,341,1501,53,Cotton,0
M113,317,1558,52,Silk,0
M101,321,1558,45,Polyester,0
M107,322,1476,49,Polyester,0
M109,326,1538,45,Polyester,0
M101,305,1372,44,Cotton,0
M112,320,1460,36,Silk,0
M108,313,1394,48,Cotton,0
M111,303,1362,36,Cotton,0
M119,330,1454,46,Cotton,0
M117,316,1492,45,Blend,0
M108,322,1590,58,Blend,0
M103,322,1482,42,Blend,0
